name
Eden ahbez
Edith Farnadi
Edith Segal
Edna Michell
Edna Stern
Eduard Birnbaum
Eduard Steuermann
Eduard Strauss
Edward Heyman
Edward Kleban
Edward Pola
Edwin Franko Goldman
Edwin Seroussi
Eef Barzelay
Efrem Zimbalist
Egon Ledeč
Egon Wellesz
Eilon Zarmon
Eitan Avitsur
Eitan Reiter
Eitan Steinberg
Eldad Tsabary
Eleanor Aller
Eleanor Reissa
Electrowavez
Elena Bashkirova
Elena Gnesina
Elena Kuschnerova
Elena Romero
Eli Eban
Eli Gerstner
Eli Gorenstein
Eli Nissan
Eli Yatzpan
Eliad Nachum
Eliahu Inbal
Eligh
Elijah Wald
Eliot Glazer
Eliran Avni
Elisabeth Leonskaja
Elisha Abas
Elizabeth Gutman Kaye
Elizabeth Schwartz
Eliška Kleinová
Elkana Marziano
Ella Jane
Ella-Lee Lahav
Ellie Greenwich
Elliot Levine
Elliot Willensky
Elliot Wolff
Elliott Sharp
Elmer Bernstein
Emanuel Amiran-Pougatchov
Emanuel Ax
Emanuel Bay
Emanuel Feuermann
Emanuel List
Emanuel Nunes Carvalho
Emanuel Vahl
Emil Gilels
Emil Gorovets
Emilie Frances Bauer
Emily Remler
Emmanuel Metter
Emmerich Kálmán
Emmy Rossum
Encyclopedia of Jews in Music
Enrico Macias
Epic Mazur
Eprhyme
Eran Prion
Eres Holz
Erhard Wechselmann
Eric Bloom
Eric Carmen
Eric Friedman
Eric Melvin
Eric Weissberg
Erica Lippitz
Erich Gruenberg
Erich Leinsdorf
Erich Wolfgang Korngold
Erich Zeisl
Erika Fox
Erika Morini
Erna Tauro
Ernest Reyer
Ernestine Schumann-Heink
Ernst Levy
Ernst Oster
Ernst Toch
Ervin Drake
Ervin Nyiregyházi
Erwin Schulhoff
Eson Kandov
Este Haim
Ester Rada
Esther Galil
Esther Gamlielit
Esther Ghan Firestone
Esther Ofarim
Esthero
Ethan Bortnick
Ethan Slater
Eudice Shapiro
Eugene Istomin
Eugene List
Eugene Ormandy
Eugene Raskin
Eugenia Zukerman
Evan Drachman
Evan Lowenstein
Evan Rachel Wood
Evan Taubenfeld
Evelyn Kaye
Evelyn Lear
Evgeny Kissin
Evgeny Mogilevsky
Eyal Barkan
Eyal Golan
Eyal Maoz
Eydie Gormé
Eyran Katsenelenbogen
Eytan Pessen
Ezra Furman
Ezra Koenig
Ezra Rachlin
Ezra Schabas
Faith Soloway
FaltyDL
Fannie Bloomfield Zeisler
Fanny Basch-Mahler
Fanny Brice
Fanny Hensel
Fanny Waterman
Fat Mike
Fatima Kuinova
Fausto Cleva
Felicja Blumental
Felix Bernard
Felix Blumenfeld
Felix Galimir
Felix Lederer
Felix Mendelssohn
Felix Otto Dessoff
Felix Slatkin
Felix Wolfes
Ferdinand Heckscher
Ferdinand Hiller
Ferdinand Praeger
Ferenc Fricsay
Fini Henriques
Firzogerin
Flora Purim
Florence Weiss
Florentin (musical duo)
Flory Jagoda
Fran Warren
