query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Le Cose Bianche,Le Cose Bianche,21337,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Monkey Mind,Monkey Mind,22156,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
XXIXI,XXIXI,97b7ae5b-3d51-430c-a604-f5c60c9d6902,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Black Flamingo,Black Flamingo,09fae34d-595d-460c-a90c-70936a5f935f,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Not From Georgia,Not From Georgia,22285,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Scott Nice,Scott Nice,0da3b68f-758f-4d83-bfef-6e6ba5cf4312,81,10,70,1,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
The Middletown Creative Orchestra,The Middletown Creative Orchestra,22412,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mueran Humanos,Mueran Humanos,2b58ed3c-b0ef-44df-b32d-104c8d2ae358,19,10,0,9,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Jeffrey Philip Nelson,Jeffrey Philip Nelson,3dba3aa3-9ca5-476f-95da-faebc58b73d8,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Violet And The Mutants,Violet And The Mutants,f6145765-0961-4ce3-b849-18e80d95e7f8,13,13,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Fotos del Otoño,Fotos del Otoño,22287,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Noveller,Noveller,7d57e5b3-34a7-4862-973e-7cec0892f576,28,10,1,17,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
