name,mbid,fma_track_count
Maeve Binchy,,20
Jack Goldstein,,20
Michael Buckley,,20
Nevil Shute,,20
Chuck Palahniuk,,20
Patricia C. Wrede,,20
Joan Didion,,20
Andrew Bender,,20
Mack Maloney,,20
Mark Tufo,,20
The School of Life,,20
Roger Ebert,,20
James Ellroy,,19
Editors of Cool Springs Press,,19
Aristotle,,19
Frederick Forsyth,,19
Fritz Leiber,,19
William Butler Yeats,,19
Catherynne M. Valente,,19
Douglas Niles,,19
Helen Macinnes,,19
Katherine Kurtz,,19
Helen Dunmore,,19
Edna O'Brien,,19
Rita Mae Brown,,19
Simon Winchester,,19
Guy de Maupassant,,19
Django Wexler,,19
Ellen Datlow,,19
Edward Marston,,19
Kazuo Ishiguro,,19
Saul Bellow,,19
Peter Matthiessen,,19
Elizabeth Gaskell,,19
Timothy Keller,,19
Euripides,,19
Eva Ibbotson,,19
Celeste Bradley,,19
Lemony Snicket,,19
John Birmingham,,19
Tony Hillerman,,19
Trisha Ashley,,19
Ashley Harrell,,19
Mary Shelley,,19
Stephen Keeling,,19
Paul Johnson,,19
Jacqueline Wilson,,19
Mark Scarbrough,,19
John Gribbin,,19
Camilla Läckberg,,19
Cathy Glass,,19
Mira Grant,,19
Eloisa James,,19
Melissa de la Cruz,,19
William Boyd,,19
Stephen Hunter,,19
Michael Swanwick,,19
Jane Smiley,,19
Jan Guillou,,19
John Irving,,19
Betty G. Birney,,19
E.L. Doctorow,,19
William Kent Krueger,,19
Farley Mowat,,19
Bruce Sterling,,19
Mark Victor Hansen,,19
Ursula Vernon,,19
Catherine Asaro,,19
HarperCollins Publishers,,19
Christopher Pitts,,19
Robert Graves,,19
Frances Lockridge,,19
Richard Lockridge,,19
William S. Burroughs,,19
NISIOISIN,,19
Patrick Carman,,19
Ayn Rand,,19
Walter Jon Williams,,19
Neil Wilson,,19
Mary Berry,,19
Martin Edwards,,18
Alberto Moravia,,18
Toni Morrison,,18
Susan Wittig Albert,,18
Bill O'Reilly,,18
George Steiner,,18
J. G. Ballard,,18
Peter Handke,,18
Ford Madox Ford,,18
J. M. Coetzee,,18
T.C. Boyle,,18
Karen Marie Moning,,18
Arthur Schopenhauer,,18
James Dashner,,18
Hilary Mantel,,18
David Wellington,,18
Gertrude Stein,,18
Eric Ambler,,18
Francine Prose,,18
Ginn Hale,,18
Tess Whitehurst,,18
Christopher Hitchens,,18
Dave Eggers,,18
Wilkie Collins,,18
Ken MacLeod,,18
A. H. Almaas,,18
P. C. Cast,,18
Kerry Greenwood,,18
Laura Joh Rowland,,18
Eric Brown,,18
John Milton,,18
Johnny Molloy,,18
Henri Michaux,,18
Annabel Karmel,,18
Jorge Luis Borges,,18
Jeff Rovin,,18
Cherie Priest,,18
Gary Chapman,,18
Oliver Sacks,,18
Gwendoline Butler,,18
Kevin Hearne,,18
Wanda Coven,,18
Richard Lee Byers,,18
Alison Bing,,18
Anita Shreve,,18
Laird Barron,,18
Lauren Oliver,,18
Roddy Doyle,,18
Craig McLachlan,,18
Alexander Fullerton,,18
Tami Hoag,,18
Dean Wesley Smith,,18
Kage Baker,,18
Beryl Bainbridge,,18
Ian Hamilton,,18
John Jakes,,18
Morgan Rice,,18
Arthur Miller,,18
Howard Zinn,,18
Adriana Trigiani,,18
Mara Vorhees,,18
Dan Cragg,,18
Martha Wells,,18
Mel Odom,,18
Jean Giono,,18
George Pelecanos,,18
Suzanne Brockmann,,18
Ellis Peters,,18
Rabindranath Tagore,,18
Karen Hawkins,,18
Michel Foucault,,18
Roger Zelazny,,18
Kiki Thorpe,,18
Charlie Rainbow Wolf,,18
Daniel Robinson,,18
Charles Rawlings-Way,,18
Louis Charbonneau,,18
Don DeLillo,,18
John Varley,,18
Sheri S. Tepper,,17
Simon Kernick,,17
John McPhee,,17
Philip Jose Farmer,,17
Catherine Jinks,,17
Michael Scott,,17
Richard Kadrey,,17
J.T. McIntosh,,17
James Herbert,,17
Sam Shepard,,17
James Kelman,,17
William Trevor,,17
Ann Rule,,17
Ramsey Campbell,,17
Jo Walton,,17
R. A. Salvatore,,17
James Fenimore Cooper,,17
Karen Armstrong,,17
Russell Banks,,17
David Roberts,,17
Monica Crosson,,17
Anthony Burgess,,17
Jennifer Ashley,,17
Kim Newman,,17
Chris Bohjalian,,17
Bill Pronzini,,17
Kahlil Gibran,,17
Derek Landy,,17
Louise Erdrich,,17
Dervla Murphy,,17
Christopher Moore,,17
Niall Ferguson,,17
Dorothy Cannell,,17
Elly Griffiths,,17
Marie Force,,17
Nigella Lawson,,17
Richard Dawkins,,17
Francesca Simon,,17
Geoff Dyer,,17
Stephen Hawking,,17
George Mann,,17
Cecelia Ahern,,17
Harvard Business Review,,17
Robert A. Heinlein,,17
Norman Lewis,,17
Good Housekeeping,,17
Susan Westmoreland,,17
Julie Hyzy,,17
Juliette Cunliffe,,17
Saadat Hasan Manto,,17
Michael Ruhlman,,17
Heather Killough-Walden,,17
Linda Castillo,,17
Karen Chance,,17
Will Durant,,17
Richard Laymon,,17
Donald Bain,,17
Clarice Lispector,,17
Johann Wolfgang von Goethe,,17
Neil deGrasse Tyson,,17
Zuri Day,,17
Lynne Reid Banks,,17
First Last,,17
Leonard Cohen,,17
David Thomson,,17
Ann Beattie,,17
Richard Holmes,,17
Stuart MacBride,,17
John Russell Fearn,,17
Brian Lumley,,17
Bill Yenne,,17
Steven Raichlen,,17
Roger Scruton,,17
America's Test Kitchen,,17
David Macaulay,,17
David Rosenfelt,,17
Michael Lewis,,17
Caitlin Kittredge,,17
Julie Adair King,,17
Consumer Dummies,,17
Teresa Medeiros,,17
Ace Atkins,,17
Steven J. Zaloga,,17
David Pogue,,17
Jan Morris,,17
Andy McNab,,17
Damien Lewis,,17
Kathryn Cramer,,17
David Poyer,,17
Maggie Stiefvater,,17
Edmund White,,17
Octavia E. Butler,,17
Becky Ohlsen,,17
Lois McMaster Bujold,,17
Philip Ball,,17
Sy Montgomery,,17
Chris Grabenstein,,17
Lindsay Brown,,17
Paula Hardy,,17
Chuck Wendig,,17
Shirley Jackson,,17
Obert Skye,,17
Hunter S. Thompson,,17
John Ringo,,17
Roberto Calasso,,17
Melanie Marquis,,17
Elizabeth Barrette,,17
Deborah Castellano,,17
Belinda Dixon,,17
American Heart Association,,17
David Halberstam,,17
JoAnna Carl,,16
Paul McFedries,,16
Martin Walker,,16
Michael Pearce,,16
William E. Butterworth,,16
Jonathan Coe,,16
Erich Fromm,,16
Brad Meltzer,,16
Jeffe Kennedy,,16
Louise Penny,,16
Sherry Thomas,,16
Homer,,16
Minette Walters,,16
Bob Woodward,,16
Elizabeth Hoyt,,16
Mary Gordon,,16
Andrea Kane,,16
J.R.R. Tolkien,,16
Michael Chabon,,16
Rick Mofina,,16
Henri Bergson,,16
Edward O. Wilson,,16
Henry Rollins,,16
Henrik Ibsen,,16
Jeffrey Ford,,16
Stephen Graham Jones,,16
Greg Benchwick,,16
Edward W. Said,,16
J. R. R. Tolkien,,16
Martha Grimes,,16
Walter Dean Myers,,16
Søren Kierkegaard,,16
James Frey,,16
Mark Zuehlke,,16
Louis Sachar,,16
Charlotte MacLeod,,16
Gregg Hurwitz,,16
H. P. Lovecraft,,16
Ray O'Ryan,,16
Denis Johnson,,16
Richard A. Knaak,,16
Jessica Fletcher,,16
Sara Benson,,16
Margit Sandemo,,16
Daniel Goleman,,16
Kerrelyn Sparks,,16
Diane Chamberlain,,16
Monica Sweeney,,16
Jennifer Wilde,,16
Julio Cortázar,,16
Keith R. A. DeCandido,,16
Stephen Crane,,16
Jack Whyte,,16
Joe Kissell,,16
Joseph Roth,,16
Isabel Albiston,,16
Alex Egerton,,16
Winston Graham,,16
Julie Anne Long,,16
Margaret Stohl,,16
Paul S. Kemp,,16
Greg Iles,,16
Reginald Hill,,16
Michael Dobbs,,16
David Hewson,,16
Bradley Mayhew,,16
Walter Benjamin,,16
Josephine Quintero,,16
Simon Clark,,16
Infinite Ideas,,16
Michael A. Stackpole,,16
Emilie Filou,,16
William Gibson,,16
Terry Eagleton,,16
Jonathan Swift,,16
Eric Tyson,,16
Elizabeth Peters,,16
Kylie Logan,,16
Patrick White,,16
Max Lucado,,16
Yukio Mishima,,16
Robert Reed,,16
China Miéville,,16
George Alec Effinger,,16
Michael Alexander,,16
Louisa May Alcott,,16
Charles R. Swindoll,,16
Rebecca Milner,,16
Suzanne Ress,,16
Susan Pesznecker,,16
Natalie Zaman,,16
James Kambos,,16
Marcus Sedgwick,,16
Bill Granger,,16
James Morrow,,16
E.E. Knight,,16
Stendhal,,15
Brian Keene,,15
Thomas Merton,,15
William Golding,,15
Tessa Dare,,15
Jay Lake,,15
Michel Houellebecq,,15
Ovid,,15
Plutarch,,15
Greig Beck,,15
Matthew Reilly,,15
Austin Bush,,15
John Rechy,,15
Ishmael Reed,,15
R. K. Narayan,,15
Mark Greaney,,15
Christopher Buckley,,15
Mary Renault,,15
John Feinstein,,15
Karen Rose Smith,,15
Natsume Soseki,,15
Jojo Moyes,,15
James Beard,,15
Devon Monk,,15
Karen Rose,,15
Caryl Churchill,,15
Bridget Gleeson,,15
Mordecai Richler,,15
Michael Morpurgo,,15
Bloomsbury,,15
Elaine Cunningham,,15
Carole Mortimer,,15
Joel Osteen,,15
Dennis Lehane,,15
Steve Martini,,15
T. Jefferson Parker,,15
Larry Correia,,15
John C. Wright,,15
Linda Lael Miller,,15
Elizabeth David,,15
Nnedi Okorafor,,15
Mary Monroe,,15
Good Food Guides,,15
Jorge Cruise,,15
