query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
mr&mrsBrian,mr&mrsBrian,17bc61cf-62cd-43a2-b8a3-a988aa6e34c3,87,87,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
POVALISHIN DIVISION,POVALISHIN DIVISION,000b33e6-1479-4b95-8202-d4d838519164,90,90,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Clinical Archives Mix,Clinical Archives Mix,10117,87,87,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
C-Doc,C-Doc,a3370c9f-3fdf-4d9a-bb74-e8ec7d4f1957,87,87,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Asian Women on the Telephone,Asian Women on the Telephone,a5eb9bd0-c49f-4d6f-8045-402dcc836471,86,86,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Roger McGuinn,Roger McGuinn,6ec7336b-a56a-4b5d-bcec-575d2b8ed4e1,255,85,142,28,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Kevin Bryce,Kevin Bryce,88926e80-80bc-49fe-853e-4fd74be68c70,85,85,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Tusk Lord,Tusk Lord,225ac73d-1060-4d37-a7ca-4a39725cc41d,84,84,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The New Mystikal Troubadours,The New Mystikal Troubadours,7ca79c47-0c3c-46bb-aa8e-0bc32ce29114,84,84,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Kellee Maize,Kellee Maize,0a67d138-8cd0-49f9-94f6-e65826f1a8ab,109,83,0,26,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Lucky Dragons,Lucky Dragons,0654393d-253f-4a4d-a7e0-fbc799152930,91,82,0,9,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Castello di Trokai,Castello di Trokai,19030,82,82,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Hathaway Family Plot,The Hathaway Family Plot,7e8c21e1-f7a1-463b-ab09-11f5acc35b74,81,81,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Pk Jazz Collective,Pk Jazz Collective,8f8db5c9-8887-4922-af35-4b6bbe0ccfc4,120,120,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
ROZKOL,ROZKOL,42ec9891-45d4-4658-ba8b-ca072e4b5b25,80,80,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Tab & Anitek,Tab & Anitek,a408f71b-fd12-45a5-b37f-f352d8d9c883,79,79,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
theAudiologist,theAudiologist,502768c0-d13c-4855-b40a-33e98e59c69b,78,78,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Pablo Ribot,Pablo Ribot,86c3eac5-61c5-45c1-a146-bb10198ab2a0,77,77,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Lee Maddeford,Lee Maddeford,97dc2417-9b19-4488-8286-4fcc26fa2fd9,114,76,38,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
Samuel Corwin,Samuel Corwin,21877,76,76,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Jad Fair,Jad Fair,be4a8e65-a7ba-474c-989b-ed16e51c1a39,107,75,10,22,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Just Plain Ant,Just Plain Ant,c2efd199-1f21-4bce-aa0f-7b9abe92bb1e,75,75,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Altered:Carbon,Altered:Carbon,1ef3022e-3de8-4419-b852-ce0cbe85cba6,75,75,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Glove Compartment,Glove Compartment,149,74,74,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Gorowski,Gorowski,9ed4d6b2-67c1-44c4-9a4d-e4e2e76d2659,74,74,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Krowne,Krowne,136d4c42-9e55-4129-a1e8-650e2db9c9bd,75,75,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Stealing Orchestra,Stealing Orchestra,138aa72f-17ce-4a4e-8a52-a5fa323c449b,74,74,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
SPCZ,SPCZ,d65f4d0a-fcad-4716-8c24-e887ccf7c715,74,74,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Project 5am,Project 5am,2f78086c-aa1c-4fe6-acf8-bf08a9ef764f,73,73,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mitoma,Mitoma,1480cd4b-5f76-402e-ae2a-6b890b09def0,73,73,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Bruce Miller,Bruce Miller,11687,73,73,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
